Modified Date: 2022-06-03 23:33 UTC,,,,,,,,,,,,,,,,,,
disclaimer_EN,,,,,,,,,,,,,,,,,,
Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year
MOUNTAIN VIEW LODGE,YUKON TERRITORY,2100755,1579,,,61.63,-139.67,613800000,-1394000000,845.8,1974,1977,,,1974,1977,1974,1977
NEW IMPERIAL,YUKON TERRITORY,2100765,1580,,,60.63,-135.08,603800000,-1350500000,800.1,1968,1969,,,1968,1969,1968,1969
OGILVIE RIVER,YUKON TERRITORY,2100794,1581,,,65.36,-138.31,652137000,-1381819000,597.4,1971,2008,,,1971,2008,1971,2007
OLD CROW A,YUKON TERRITORY,2100800,1582,,YOC,67.57,-139.84,673414000,-1395021000,250.24,1951,2015,1975,2013,1951,2015,1951,2007
OLD CROW A,YUKON TERRITORY,2100801,51437,,YOC,67.57,-139.84,673412000,-1395024000,250.2,2013,2022,2013,2022,,,,
OLD CROW A,YUKON TERRITORY,2100807,53023,,YOC,67.57,-139.84,673412000,-1395024000,250.2,2014,2022,2014,2022,2018,2022,,
OLD CROW RCS,YUKON TERRITORY,2100805,26894,71044,ZOC,67.57,-139.84,673414000,-1395021000,251.2,1994,2022,1994,2022,1995,2022,2006,2007
OTTER FALLS NCPC,YUKON TERRITORY,2100840,1583,,,61.03,-137.05,610200000,-1370300000,829.7,1980,2022,,,1980,2022,1980,2007
PAINT MOUNTAIN TOWER,YUKON TERRITORY,2100850,1584,,,60.83,-137.5,605000000,-1373000000,1386.8,1976,1976,,,1976,1976,1976,1976
PARKIN,YUKON TERRITORY,2100860,1585,,,66.23,-137.28,661400000,-1371700000,533.4,1971,1973,,,1971,1973,1971,1973
PELLY RANCH,YUKON TERRITORY,2100880,1586,,,62.83,-137.31,624948009,-1371839005,445,1898,2017,,,1898,2017,1951,2007
PELLY RANCH FORT SELKIRK,YUKON TERRITORY,2100881,54601,73013,CPY,62.82,-137.37,624900000,-1372200000,454.2,2020,2022,2020,2022,2020,2022,,
PORTER CREEK WAHL,YUKON TERRITORY,2100907,1587,,,60.77,-135.12,604600000,-1350700000,713,1989,2005,,,1989,2005,1989,2005
QUIET LAKE,YUKON TERRITORY,2100910,1588,,,61.15,-133.07,610900000,-1330400000,820,1966,1992,,,1966,1992,1966,1992
QUILL CREEK,YUKON TERRITORY,2100914,1589,,,61.45,-139.25,612700000,-1391500000,831,1983,1985,,,1983,1985,1983,1985
RAMPART HOUSE,YUKON TERRITORY,2100920,1590,,,0,0,0,0,0,1918,1919,,,1918,1919,,
RANCHERIA,YUKON TERRITORY,2100932,1591,,,60.08,-130.6,600500000,-1303600000,865.6,1980,1981,,,1980,1981,1980,1981
ROCK RIVER,YUKON TERRITORY,2100935,8979,71506,WRR,66.98,-136.22,665852000,-1361305000,731,1994,2022,1994,2022,1995,2022,,
ROSS RIVER A,YUKON TERRITORY,2100940,1592,,,61.97,-132.43,615800000,-1322600000,705.3,1961,1994,1987,1994,1961,1994,1964,1994
ROSS RIVER YTG,YUKON TERRITORY,2100941,6849,,,61.98,-132.45,615900000,-1322700000,698,1993,2008,,,1993,2008,1993,2007
RUSSELL CREEK,YUKON TERRITORY,2100942,1593,,,63.03,-133.38,630200000,-1332300000,686,1989,1993,,,1989,1993,1989,1993
SAM LAKE,YUKON TERRITORY,2100945,1594,,,68.42,-138.62,682500000,-1383700000,457.2,1974,1974,,,1974,1974,1974,1974
SATAH RIVER,YUKON TERRITORY,2100946,26867,,WNO,66.87,-134.2,665200000,-1341200000,86,1995,2001,1995,2001,1995,2001,,
SHELDON LAKE,YUKON TERRITORY,2100948,1595,,,62.62,-131.28,623700000,-1311700000,883.9,1970,1992,,,1970,1992,1970,1992
SHINGLE POINT A,YUKON TERRITORY,2100950,1596,71968,YUA,68.95,-137.22,685700000,-1371300000,49.4,1957,2022,1973,2022,1957,2022,1957,1993
SIMPSON TOWER,YUKON TERRITORY,2100960,1597,,,61.4,-129.47,612400000,-1292800000,1676.4,1976,1976,,,1976,1976,,
SNAG A,YUKON TERRITORY,2101000,1598,,,62.37,-140.4,622200000,-1402400000,586.7,1943,1966,1953,1966,1943,1966,1943,1966
STEWART CROSSING,YUKON TERRITORY,2101030,1599,,,63.38,-136.68,632300000,-1364100000,480.1,1963,2008,,,1963,2008,1963,2007
STEWART CROSSING TOWER,YUKON TERRITORY,2101031,1600,,,63.42,-136.68,632500000,-1364100000,1249.7,1976,1976,,,1976,1976,,
STEWART RIVER,YUKON TERRITORY,2101033,1601,,,63.32,-139.43,631900000,-1392600000,358.1,1976,1993,,,1976,1993,1976,1993
STOKES POINT,YUKON TERRITORY,2101050,1602,,,69.35,-138.77,692049000,-1384613000,34.7,1959,1993,1992,1993,1959,1993,1959,1963
